UID,Deck,Stack,Quantity,Face,Name,Flavor,Description,Prompts,Rule
726109a2e8a957073435e648a439eaa9,CORE,Core Rules (Agenda),1,Back,The Principal,,"During play, you can speak from one of several agendas.\nThese agendas can be assigned individually to several people, or all given to a single player.\nThe agendas can change hands during the game. You cannot take an agenda away from someone else, but you can ask someone else to give up an agenda.\nIf you've been assigned an agenda, you are bound to speak from it.\n",,Whoever plays this card is a principal. Flip for additional rules.
726109a2e8a957073435e648a439eaa9,CORE,Core Rules (Agenda),1,Front,The Principal,,"You create and play a Principal Character (PC).\nYou narrate your PC's actions, reactions, and motivations. You are the final authority on what your character says or does.\n",•Stay true to your character•Share ways for other players to help you have fun•Look for opportunities to advance your story•Support other players' stories,Whoever plays this card is a principal. Flip for additional rules.
9635d69505c9561e7e5d044fb1f66340,CORE,Core Rules (Agenda),1,Back,The Facilitator,,"During play, you can speak from one of several agendas.\nThese agendas can be assigned individually to several people, or all given to a single player.\nThe agendas can change hands during the game. You cannot take an agenda away from someone else, but you can ask someone else to give up an agenda.\nIf you've been assigned an agenda, you are bound to speak from it.\n",,Whoever plays this card is the facilitator. Flip for additional rules.
9635d69505c9561e7e5d044fb1f66340,CORE,Core Rules (Agenda),1,Front,The Facilitator,,You push the scene forward by directing the spotlight of attention from player to player in fun and fair ways.\nMove the spotlight:\n,•toward a PC who's at risk or in danger•toward a player who hasn't acted recently•toward a player who has an interesting idea•away from a player who finished a cool action,Whoever plays this card is the facilitator. Flip for additional rules.
2edb95e9b4400a259da6f6d2355b81fc,CORE,Core Rules (Agenda),1,Back,The Lorekeeper,,"During play, you can speak from one of several agendas.\nThese agendas can be assigned individually to several people, or all given to a single player.\nThe agendas can change hands during the game. You cannot take an agenda away from someone else, but you can ask someone else to give up an agenda.\nIf you've been assigned an agenda, you are bound to speak from it.\n",,Whoever plays this card is the lorekeeper. Flip for additional rules.
2edb95e9b4400a259da6f6d2355b81fc,CORE,Core Rules (Agenda),1,Front,The Lorekeeper,,"You oversee the background details of the game world. Defer to players whose PC's heritage, origin, or interests would supply answers to background questions.\n","•Who was the greatest Paladin in history?•What languages might my character learn to speak?•When did the dragons disappear?•How does magic work, anyway?",Whoever plays this card is the lorekeeper. Flip for additional rules.
463e813711c211aa0b8075bf75860ff8,CORE,Core Rules (Agenda),1,Back,The Referee,,"During play, you can speak from one of several agendas.\nThese agendas can be assigned individually to several people, or all given to a single player.\nThe agendas can change hands during the game. You cannot take an agenda away from someone else, but you can ask someone else to give up an agenda.\nIf you've been assigned an agenda, you are bound to speak from it.\n",,Whoever plays this card is the referee. Flip for additional rules.
463e813711c211aa0b8075bf75860ff8,CORE,Core Rules (Agenda),1,Front,The Referee,,"You adjudicate questions about the rules of the game, and make changes to the rules with the group's consent. Any player can suggest how to handle a rule, but you have the final say.\nExample rulings:\n",•Is a given card applicable to this fictional situation?•How should a given card's text be interpreted?•Is it time to create a new card?,Whoever plays this card is the referee. Flip for additional rules.
3f4c6d11f526ed5cdfbcc1239d5486c8,CORE,Core Rules (Agenda),1,Back,The Storyteller,,"During play, you can speak from one of several agendas.\nThese agendas can be assigned individually to several people, or all given to a single player.\nThe agendas can change hands during the game. You cannot take an agenda away from someone else, but you can ask someone else to give up an agenda.\nIf you've been assigned an agenda, you are bound to speak from it.\n",,Whoever plays this card is the storyteller. Flip for additional rules.
3f4c6d11f526ed5cdfbcc1239d5486c8,CORE,Core Rules (Agenda),1,Front,The Storyteller,,"The game also has Ensemble Characters (ECs), sometimes called Non-Player Characters (NPCs). You narrate their actions and reactions as antagonists, allies, bystanders, and so on.\n",•Give ECs a name and identity•Find the essential humanity of every EC•Don't steal agency or spotlight from the PCs•Initiate actions that prompt a PC response,Whoever plays this card is the storyteller. Flip for additional rules.
9afded58f09b40ed67f36febd3d6d642,CORE,Core Rules,1,Back,Challenges,,Use challenges to tune the difficulty of a situation. A risky combat scene might pose several challenges. A simple social encounter might pose only one challenge.\n,"•You're navigating rough terrain, and might fall or lose equipment•You're fighting or fleeing a dangerous monster•You're working with complex magic or technology that might malfunction•You're confronting an emotionally fraught situation",Flip for additional rules.
9afded58f09b40ed67f36febd3d6d642,CORE,Core Rules,1,Front,Challenges,,"Any player may challenge a PC's action if success or failure are both interesting.\nWhen your PC is challenged, you must generate a hit to meet it, like flipping a character card. If you don't meet a challenge, your PC's intentions are thwarted or complications arise.\nThe challenge must suggest consequences for failure. ""Or else nothing happens"" is not a challenge. The same action cannot be challenged multiple times.\n",,Flip for additional rules.
